Rating,Date,Review
3.0 , 23 May 2014,"I have been a fan of Chetan Bhagat for his excellent writing ability. His books like "Five point someone", "2 States", "3 mistakes of my life" will fill up my heart as forever. But this book really disappointed me. Story is about 2 boys and 1 girl on the background of Varanasi. It is about the difference of those two boys who used to be friends and role of the girl in their life. Story was going well but in the midway, it got extremely boring. Needless to say its ending has not been much interesting as I expected. Message of the story is good and also the finishing was touching. But something is missing that's my opinion as a reader. That is why I am rating it 3 stars."
3.0 , 20 August 2013,"i am an admirer of bhagat's writing and have read all his books published till date.bhagat is loved mostly because of his smart n crisp writing, simple language, the freshness of his tone and a sound understanding of the young minds.his books like five point someone,one night at a call center,three mistakes of my life etc. had just increased our expectation from him.but,i think,this book did not excel to that level.it lacked the uniqueness.at one point of time,u will think that you r reading about a Bollywood masala movie.it's just too filmy.and.when you finish reading the book,it's just 'finished'. it's an one timer.you will not feel the urge to read it again."
5.0 , 22 May 2016,"It is written in very simple language yet very entertaining. Undoubtedly, simplicity is the forte of Chetan Bhagat. The movement I started it, could not resist my self until I completed. Go ahead and read it."
5.0 , 23 May 2014,"As the title aptly suggests, this is a story of love, unfulfilled ambitions and corruption in the system. A story about a young boy, who wants to make it big in life. The book is very well written and you can't help but feel for Gopal, the protagonist. As a reader, you can virtually visualise the lanes and ghats of Varanasi, even if you've never been there.  I finished reading the book with a tear in my eyes. The story will linger at the back of your mind, even long after you finish reading the book and thats the best thing I liked about it! Take a bow, Mr. Chetan Bhagat for writing this beautiful piece of story!!!"
4.0 , 3 May 2016,"nice book..to pass ur time....it depends on reader what type of book they like... but the story is very nice ... [...]  .....the link is the review.... get one its woth nice story.."
5.0 , 29 July 2013,"If any one wants to understand what jealousy is, no better way than to read this book. The depiction of this emotion alone is worth 5 stars for this book.After finishing the book, one tends to keep on thinking for a while that whatever happened to the main character is heart wrenching; and was there any alternative climax available, why did author chose this and not that !In Short :Love + Ambition + Failure + Extreme Jealousy + Sense of worthlessness + Corruption + Success + Ultimate Sacrifice = Revolution 2020 !!"
5.0 , 26 February 2014,"I am a big fan of chetan bhagat  and I can confidently say that this is  the best book written by him till date. Stuff packed with friends, love, career, money and life. Good shot by Chetan. I like the Gopal character very much particularly when he tried to bring her out from love life. This novel taught us that we need a revolution against the corruption.I am not sure about that revelution 2020 will make revolution or not in the real life of readers; but recommend that if you have interest in reading novel, once go for it."
5.0 , 27 June 2015,"ALL ABOUT FRIENDSHIP, LOVE AND LIFE, THIS BOOK GIVES YOU. IT IS A MASTER PIECE AT A VERY REASONABE PRICE. YOU WILL NEVER GET TIRED OF THIS BOOK AS ANY NUMBER OF TIMES YOU READ IT, YOU WILL NOT GET BORED. IT IS WORTH SPENDING YOUR VALUEABLE TIME AND MONEY ON IT .AMAZON OFFERS THIS BOOK AT A VERY LOW COST. BUY THIS BOOK IF YOU WANT TO SEE YOUR LIFE FROM A DIFFERENT LEVEL. IT WILL SURELY OF GREAT HELP TO YOU. AND DONT FORGET TO LIKE THE REVIEW IF IT WAS OF ANY HELP."
5.0 , 29 May 2016,"It was my first novel and I completely loved it.  Chetan Bhagat presented every situation in such a way that made me feel like I was actually witnessing it. I liked the love story with each and every conversation between Gopal and Aarti. But the sad ending was very disappointing.  Both of them loved each other and would have happily lived together as a couple. Hope if the writer comes up with the next part of the story that makes them meet again. I'm looking forward for the next part of the book. Thank you Mr. Chetan Bhagat for this one and this is among the best books of yours."
3.0 , 20 October 2014,"I usually don't prefer to read this genre, but the book was selling at an unbelievably low price (52Rs) which even a second hand book store won't provide. So i bought it anyway.Coming to the book. Easy going, never a place where you feel - you need to reread certain section. Author connected really well with majority of Indians who got whopped their asses in competitive exams. In fact, it might have appealed to so many people who feel they wasted their parents money on education. The author Introduces each character really well. I was expecting a bit of Bollywood emotional drama in some part of the book but didn't happen- all went reasonably well.Revolution 2020 sounds a bit of a misnomer, you don't see any thing which even remotely resembles to a revolution. In-fact you don't feel connected to the title until around 200 pages."
4.0 , 9 May 2016,"Good work by Chetan, felt grossly involved in the book.Though I am not an avid reader, this book I did not leave until I finished"
5.0 , 18 December 2013,"You would love to read this book and would be very close to your heart there after.Everyone in this world should have loved someone at some point of time and definitely this book would touch your sweet memories of your life."
5.0 , 15 February 2016,"Revolution 2020 is really awesome...I had the book nearly for 1 month in my bag without looking itt...but when I started reading it..I had completed the book in 2 days..n u know i had a nightout 2 complete this book as i have never n8outed 2 study my course...nw im going 2 read the book for third time...dont miss this book...nd dont miss aarthi n gopal.!!"
5.0 , 17 December 2013,"Failure is valued &amp; respected a step mote than success only in the beautiful relationship called "LOVE"........This is a nice book"
5.0 , 8 April 2014,"As Other Book of chetan Bhagat this also a Good book . when you complete this Book you will love ,corruption and Revolution is Best title for that book which also the title of this Book . When you start this book you can not stop it until you will finished this book . that is the attraction of this book"
3.0 , 17 July 2015,"Its easy to distinguish between black and white but what about grey shades?Beautifully constructed story which never loses track.You will feel for all the characters and this is where this is a winner.1 star less for rated-R content which, in my opinion, could have been avoided."
5.0 , 6 December 2015,"After reading this book, it made me think of two things. 1) It seems more real than a true story, even though I have no idea if this story was based on a true or on a fiction. 2) It raised my curiosity that what would have happened, "will Arati ever know the sacrifices of Gopal"."
1.0 , 7 April 2014,"I'm wondering why I wasted my time reading this. The climax doesn't make any sense at all. The story’s plot is too weak to make it a recommended read. The writer hasn’t given a reason why Gopal changed his mind at the last moment. The readers deserved a sensible reason on Gopal's weird decision and without it, I feel like a stupid having bought and read the book!"
5.0 , 17 December 2015,"Superb story, I usually don’t read books much but this book made me to become mad of reading Chetan's books. I like the way conversations portrayed between Gopal and Arthi. Coming to story this is a book which has Friendship, Love, Career, Luck, Education, Corrupted society…...."
4.0 , 2 July 2013,"I just started reading the books and one of my friend suggested this one. It's a nice story with mix of love, politics, friendship and ambition. Chetan Bhagat described the characters in a filmy way. I hope this Novel will become a Bollywood Movie within few months."
4.0 , 28 October 2014,"a really cool book may not as good as the other ones over all one readable copy .Even though  the story had  some neat touches  of bollywood masala. May be he have written it keeping in mind the future prospect of a movie . predictable but still a good book"
5.0 , 29 April 2015,"another amazing, heart touching and inspiring novel by chetan bhagat. truly loved the love story. what a great writing to express such revolutionary thoughts. thoroughly touched my heart. waiting for his next book.the most inspiring novel i read till date."
5.0 , 6 October 2015,"This is my first time reading a CB novel. I found the story very impressive and that's the reason I read it in 2 days. The quality of the product is very genuine. Great paperback and fine quality paper at such an affordable price. Thanks amazon after all."
3.0 , 9 September 2015,"Chetan as always has made a story out of no where. The only reason I did not give 5 star is I am ardent fan of his and read all his past books. This seemed to be an old formula therefore. I believe he can bring a little more suspense and thriller aspects"
5.0 , 6 January 2016,"Beautiful story, the way it unfolds it takes you through the journey of India. I like the Kota part of it because CB describe it very true. I don't like the novels which don't have happy ending but it has a social message, so I am giving it five starts."
1.0 , 19 February 2016,"END....1.Gopal must have saved shukla at the end by asking favour from raghav.2.shukla must have become an honest person after coming out of Jail.3.shukla must have adopted gopal as a son.Then It may have a Happy Ending..."
3.0 , 18 May 2015,"Life is not what we plan. Sometimes we have to compromise. Compromising with life(love) hearts forever. That what happened with gopal in this story. He and his best frnd love the same girl.love is a beautiful thing but only when it is return"
4.0 , 30 October 2013,"Read the whole novel .When i started off the book seemed quite interesting &amp; got through half of it soon.The book is quite readable since it reflects a lot which every student goes through at some state of their life.Quiet loved the book !!!"
5.0 , 19 November 2015,"Great Product and well packaged. delivery well on time. I am particular about the condition of the books that arrive and the way I keep it, I am really satisfied with the condition of the book and it is a really book. cant wait to read it.."
4.0 , 28 November 2014,"Good read, worth buying it. Interesting plot, the youth needs this kind of inspiration. We should stand for the right choice, fight against corruption... Only then our nation will shine brighter than other... Chetan keep up the good work..."
3.0 , 26 April 2015,"Revolution Twenty 20 is a story which travels nicely but ends stupidly. The author suddenly made twists and turns to finish it hastily. I think Chetan Bhagath needs to learn the art of writing stories "DECENTLY" with strong plot."
4.0 , 5 April 2015,"It only shows what usually happens in India..... Story is just like those typical Bollywood film..... A love triangle..... interesting...... a little bit depressing @ d last.... but this is least favourite Chetan Bhagat's novel.... :("
5.0 , 27 July 2013,"I initially bought this one thinking it as non-fiction but found it as fiction once I started. Never the less I love fiction books. The story is really curious &amp; Chetan has done a great job in narrating the story in a proper pace"
5.0 , 9 December 2015,"I won't say this book is an excellent work...but i really loved..story doesn't end in a way we thought ...so we may feel irritation or angry towards the characters ...i think that's the success of this story....i love it.."
4.0 , 27 November 2015,"It was a bit frustrating when I started this book. But believe meI'm now so happy to have read this book... Never expected few twists. Loved it. Amazon: just awesome as always. No defect no delay no disappointment!!!"
5.0 , 31 December 2015,"Well I completed this book in just two days. You will feel while reading this book time passes like seconds. It is a nice book to read and you will got to know about how the corruption had taken his place in human's DNA."
5.0 , 26 April 2015,"It was really a great story,but,... It doesn't seems like a real story for me.., I like that gopal in kota part... It was amazing and touchy,.. Especially that function part in raghav's college..."
2.0 , 9 November 2014,"Chetan's story telling capabilities are not to question. But I was expecting a better end going by his standards. The book was received in food condition and at an unbelievable price. Thanks to AMAZON!"
5.0 , 9 February 2016,"a very good book .in this gopal and ragav are good friends.they have a mutual friend arthi who close with gopal from the begining .gopal and ragav both loves arthi.But whom does she marries is ?"
5.0 , 12 December 2014,"Enjoyed the all parts of the novel it was so amazing that , while travelling in train I was so involved in reading that i had moved 5 stations ahead of my destination but I had completed it."
5.0 , 24 November 2014,"A very good book written by chetan bhagat. I salute to the author for this innovative creation. A really unresistable book........especially for yungsters like us......a must read book......"
5.0 , 10 September 2013,"the book really speaks about the pathetic condition of education in India. The plotting of the story is great and the book brings out how education and politics are entwined with each other."
3.0 , 24 July 2014,"Typical chetan bhagat book, quite entertaining considering the fast pace with which it moves.seems like it is script for another bollywood movie in the making. Nothing literary about it."
4.0 , 26 May 2014,"The story will leave youspellbound, heartbroken, sympathetic.you will love each and every turn of this book,the strength of this book is its closeness to reality."
5.0 , 26 August 2015,"Its a wonderful and inspirational book. Really heart touching story.A must read one.I really appreciate the seller and Amazon for their fastest delivery and the service.Great :)"
2.0 , 15 October 2014,"I was not really impressed by this book. Ive read many other books which are amazing but this was definitely not one of them. Im disappointed by this book. Read at ur own risk"
4.0 , 22 December 2015,"Good story...Chetan bhagat once again gave a great story to the readers..Aarti character was greatly portayed..The book has easily understandable grammar..."
4.0 , 15 January 2015,"Print quality is good nicely written.loved d starting incident wen d chatacters were young....i stilll feel d end could have better or less painful ...gopal was a good man😭"
3.0 , 19 May 2014,"Starts off well. Average middle part. Very predictable "Bollywood" ending...mildly disappointing. I paid Rs. 81/- for it. Worth it. Good pastime read for the money."
5.0 , 12 June 2014,"i love the book....it's very intresting.like every book from chetan bhagat..this also has an excellent theme.the book definetly superb as it contain every spices required."
5.0 , 19 March 2014,"I recommend this book at least once for my friends, It not only explores a true love but honesty as well, Yeah, Revolution, A change that must be in INDIA. Good, nice one."
1.0 , 17 October 2015,"Too shallow, utter nonsense, "the guy who doesn't make it into a decent engineering college should be screwed up till he dies"...this is the crux of this novel,"
5.0 , 9 April 2016,"Amazingly put together. I m so happy to have chosen to read this book but could hve had the reason on why did gopal did that thing on his birthday  still evades me...."
1.0 , 23 April 2015,"The worst book of chetan bhagat....I don know how and why people even read such crap...same old plot...same old framework...just a new title to the same old story...!!"
4.0 , 28 December 2013,"As you start to read this book. you can't wait untill you dont finish this. that is the main think about this story. every time it eagers you " What will happen next?""
4.0 , 2 September 2013,"A good book about present day education system and cash making bussiness involved with it.Author must have done quite a good research.Ashvanth Reddy"
4.0 , 27 July 2013,"This book is good which is based on future consequences... Hope it could be more realistic... But some things wrote in this book are real that are goin to happen...."
2.0 , 18 February 2015,"1'st half pages goes smoothlybut 2'nd half &amp; mostly ending was depressing nonsensenot suit for chetan stylebut still for chetan just go for once."
5.0 , 4 October 2014,"What a book yaar!!! Just fabulous. Heart touching story. Now I believe these words "Loving Someone is caring, sharing, Bearing, Working, Changing - Together"."
4.0 , 4 September 2015,"Depicts how IIT coaching has become business, how dreams gets shattered when the ambitions are not fulfilled. Represented in a very nice triangle love story."
3.0 , 7 March 2015,"Its a good novels middle part is slow. but 1st and last part is okkk..ending is like bollwood movie style.. but I Can suggest if any one want to read."
5.0 , 11 June 2015,"Simply an awesome book with serious story, romance and feelings. The characters of Aarti, Gopal and Raghav are beautifully illustrated. Really, worthy book"
4.0 , 29 July 2015,"its good read while traveling when you are low on mobile battery and still want to have fun of Spicy bollywood flick and that too *without dance numbers !"
5.0 , 19 October 2014,"This is d best novel I hv read among all d Chetan Bhagat . .....it really make u feel moved, n it didn't go abruptly to anything , nicely plotd character"
5.0 , 13 November 2015,"Its an amazing book ever written by Chetan Bhagat.The story is mind blowing.I suggest whosoever wants to read Chetan Bhagat's book first read this book."
3.0 , 19 March 2015,"starting is  veryyy  good...but  finally  it is  hopeless..  nice  story.if ending was  some  modiied..  it had  touched  everybody's  heart"
3.0 , 26 April 2014,"storytelling is good,as always in chetans books.....its an enjoyable story...but i dint like the ending....the heros decesion was unmatured....i think.."
4.0 , 27 April 2016,"It was nice reading, delivered on time"
5.0 , 7 May 2014,"Chetan at 50%..!! Yes, grabbed the chance to add one more feather to my library book collection, sitting at home rather then searching on book fairs..!"
5.0 , 30 September 2014,"Nice book . Good narration but I pity Gopal for his fate.If the story is a real one Gopal is really a great person but he deserves a good future"
5.0 , 22 May 2014,"good books..original book...not a duplicate one..good delivery....no cheating ....u can buy without any hesitation .....i love this book very much.."
3.0 , 14 April 2015,"Its great story.But the last part is worse.I didn't like sacrifice when it come to love, other than that the story is quite beautiful."
5.0 , 18 October 2014,"i read the novel its amazing i always read Cheatan Bhagat novel and i loved it next time i will hindi version of chetan next novel Half Girlfrnd"
5.0 , 5 March 2014,"nice one. good companion  in free time.... everyone should like it....so my suggestion is.......go for it.... you will definitely love it."
5.0 , 23 February 2014,"This is an awesome book. I recommend all to read this once. Love, ambition and corruption, Really it is. In this world nobody cares about you."
4.0 , 16 January 2014,"I read it story very interestingly &amp; eagerly. It is very interesting book for all youngster. This story about corruption,romance &amp; friendship."
3.0 , 10 July 2014,"They have stretched the story too much which makes thebook too boring. But over all story was good except in the in middle of the book."
5.0 , 5 October 2014,"Its Amazing Book found it really great. One Indian Youth must read this type of novels to know the reality of life.Www.fb.com/rkjha007"
5.0 , 21 January 2014,"beautiful story,,,wid satisfied end.i love chetan bhagats skills on writing.wish to read love stories.plz sir do write on it.we are waiting,"
4.0 , 1 November 2014,"A decent book for Chetan Bhagat lovers everything was good in the book but I dint like the ending but u should try this book definitely 😄"
5.0 , 5 March 2014,"XCELLENT STORY IT SHOWS THE LOVE AND SACRIFICE TOWORDS THE COUNTRY AND ROMATIC AND TELLS HOW GIRLS THINK BUT WE UNABLE TO UNDEERSTAND THEM"
5.0 , 10 June 2014,"This was the 1st book I read in Chethan Bhagat'S series...Only word came out of mouth after reading the book was superb....Author made the readers enthusiasm to continue right from the satrting page to the end one...Please read this book atleast once in your lifetime otherwise you missed alot...The excitement i felt while reading book was excellent..Dont miss it...Refer to your dear ones.Dont forget...!!!"
4.0 , 20 January 2016,"It's really a nice book I am not a chetan bhagat's fan but surely it is a good book in between little borrowing but other wise it is good"
3.0 , 11 May 2015,"it's so so compared to previous books by bhagat.the signature crisp n light yet practical n thoughtful writing of bhagat is missing here."
5.0 , 31 October 2013,"Such an engrossing book. Couldn't  do anything till I finished it. Another great work by chetu. Eagerly waiting for another book from him"
5.0 , 28 September 2015,"When i started reading the book i started to imagine me in place of gopal . Awesome and unexpected climax . You will drop tears for sure"
4.0 , 11 November 2014,"nice book outstanding imagination about present socio-economic and political scenario of country recommended to all who can read english"
3.0 , 16 May 2014,"good goingas story goes it gets interesting, but the end should have been more powerful.Thanks to Chetan Bhagat."
5.0 , 9 November 2014,"The book is damn awesome..fabulous work done by Chetan ji...and thanks to Amazon for letting me have such an easy access to tha book..."
4.0 , 31 May 2014,"I liked revolution 2020!!! I found it amazing!!! i felt the ending could have been a little more interesting!!! but overall it was nice"
4.0 , 26 September 2014,"Chetan writes as if d pen is in ur hand. U can easily relate to d story. The Indian backdrop in this book adds to it's near authentism"
5.0 , 1 April 2014,"as usual a masterpiece from chetan. I started reading books with 2 states and All his books are awesome except one night @call center."
5.0 , 15 June 2014,"Awesum book its d reality of students facing problems nd the corruption of politicians speaks thr truth n d failing education system"
4.0 , 24 May 2016,"I am feeling it is  motivated me. And I have learned some points from this book.store is good. Everything we can understand simply."
5.0 , 15 December 2015,"The story is too good, very heart touching. This is the best one from chetan bhagat in my view, after five point someone. Loved it."
5.0 , 28 May 2014,"Its a wonderful book. Chetan Bhagat is brilliant. Just bye and enjoy the story. Thanks Amazon for the book price and availability."
5.0 , 16 May 2014,"Thank you Amazon you rocksand thanks a lot for providing such a fabulous book to me.Keep Rockin like this."
4.0 , 16 August 2013,"I was recommended by many people about Revolution 2020 and seriously it's hell awesome. Must read especially for Bollywood lovers."
4.0 , 7 July 2014,"Nice one. Also Quick Service of the order placed.Good quality of book and pages.Nicely paked with triple cover outside. Satisfied"
5.0 , 6 September 2014,"I read a full book in months ..2 nd half of book is interesting... But I don't like its ending .but that's didn't make book bad"
5.0 , 20 August 2015,"A brilliant book, the best book i have ever read. Chetan Bhagat u r awesome. Every reader should read this book. hats off !!!!"
5.0 , 13 May 2015,"It is one of best book that I have read.it touches my heart as I have faced same educational system that Chetan sir presented."
5.0 , 13 July 2014,"i think this is the best novel of all chetan bhagat's series..i really like this novel..must read n i m sure u also like this."
5.0 , 20 May 2014,"This is awesome book. It has a lot of excitement. I enjoyed it. This is a good example for new writers for how &amp; what to write"
5.0 , 3 July 2013,"Just one word: Great!Good writing, typical bollywood climax with mixed emotions but yes u gonna like this :) :) :)"
5.0 , 8 June 2016,"Got it 2 days before estimated date.Superb new edition.Even though it hadn't an extra covering cover page was nice and clean."
5.0 , 6 October 2014,"first! ty to amazon for fast delivery,Revolution 2020 became one my favourite book,one's u started,u will keep on reading it!"
3.0 , 13 September 2013,"Looks like an attempt to capitalise on present day scenario in the country without putting real effort in any specific manner"
4.0 , 23 March 2016,"Good book. I recommend reading it. The stuff it contains should make it an 18+ book. But I think 13+ might find this good."
5.0 , 26 January 2015,"It's good story ..i like it.."
3.0 , 30 March 2015,"Overall, This Book Was Mixed With Almost Each &amp; Every Human Behaviour To Reach Us. Loved This Book. A Great Job Done By Chetan Bhagat.However, The Problem Was That My Book Had Pages Which Was Cleanly Torned, &amp; It Seems To Be So Stupid Because Amazon.in Doesn't Even Supports The Replacement. Clearly Not Happy With This Site..."
5.0 , 23 February 2015,"A Very Well Narrated And Heart Touching Story.. A Nice Storyline After A Long Time... I Really Enjoyed It..Worth Rupees"
3.0 , 1 February 2015,"Its ok type book where last part of the story could not meet the expectations. But through out story telling is good."
5.0 , 13 July 2013,"Excellent each and every twist is excellent.im felling so much for gopal thnks for giving a gud book mr.chetan bagath"
5.0 , 20 September 2014,"Chetan Bhagat has alwaz have a wonderful story. .I like it very much. .I read it in 10 days..it leave me with a shock that why gopal did this..if he want he can get his love back for which he was waiting for so many years.. overall I give 5 star ...waiting for releasing of another book half girlfriend in October."
3.0 , 23 May 2016,"kinda shows you how to be a "good person" in the end..... but i feel the love triangle was not convincing..."
5.0 , 22 November 2015,"I read this book within two days great story. Abt love,ethics and sacrifice for good. Young reader should read this."
5.0 , 25 September 2015,"Still the pages r lingering.in my head.a different feel..no other book got me tears...Chetan-BOSS for a reason"
5.0 , 20 April 2015,"A very good story written by chetan bhagat .it shows the comparison of making money and revolutionising the society."
4.0 , 9 August 2015,"boring cant go beyond first 20 pages.no wonder chetan bhagat is now into shaadi.com add, nd dance show judge."
5.0 , 27 October 2014,"good novel for reading, get before the time wid no terms n conditions...thnx amazon to help me out. keep helping :)"
4.0 , 21 May 2014,"A very nice book .I like its Love Story, this is the book with a msg in it !I also love KOTA's story ."
1.0 , 18 September 2014,"Certainly not chetan bhagat.There is no revolution . Only because I like his other novels.l rate this single star"
5.0 , 1 July 2014,"It's a story of many students of our generation!Really good one to have in your stock.Thank you Chetan Bhagat ji."
5.0 , 19 March 2014,"I liked the product, it was just as advertised, I received it very quickly, plan to do more purchasing on Amazon."
5.0 , 16 March 2014,"perfect book for timepass and to fell like part of story.i searched this book only on amazon by popularity."
5.0 , 15 March 2014,"a very good n interesting novel to pass time with.red the whole novel in just 2 days.1 buy to banta h"
5.0 , 6 January 2016,"Efficient packing but they should've atleast boxed it. It smelt very fresh and I got it at very very cheap rate."
4.0 , 29 November 2015,"Another well crafted novel by Chetan Bhagat.You can't just keep this book away once you Start it reading."
3.0 , 28 February 2015,"Chetan done good. Its not a high quality novel like hamlet but good to indian readers who is fan of the writer."
3.0 , 16 May 2014,"Okay to read once. not as interesting as his other books. it was not as per my expectation. pass it if you want"
4.0 , 23 May 2016,"My first Chetan Bhagat Book, liked it very much. It is different from author's usual filmy style love stories."
5.0 , 1 October 2014,"It's a tragedy+love(little bit)+Revolution...novel...full excitement....the most amazing character is Aarti..."
4.0 , 13 October 2014,"this book was a bit torn not exactly torn small damage that's not a big problem while packing that may happen"
5.0 , 22 November 2015,"Delivery time-standard.Book received without defect.Got a free bookmark! ;)Great purchase."
5.0 , 26 October 2015,"This was Chetan Bhagat's best work. I really liked that part when Gopal struggled in Kota ... Really Amazing"
5.0 , 4 March 2016,"This book is really good I really love the concept and the cover n protection is really very good must read"
4.0 , 29 May 2014,"Filmy storyline but flow of writing is at its best as usual. Script ideal for another movie !!! a must read"
5.0 , 14 May 2015,"Reading... Wanna complete"
4.0 , 28 May 2015,"Lovely story it will be fun in starting and afterwards it will become emotional but although awesome story"
4.0 , 7 March 2015,"Really an amazing &amp; speedy service by amazon..&amp; yaa a wonderful book REVOLUTION TWENTY20 by Cheatan Bhagat"
5.0 , 16 June 2014,"Guys trust me, this is the BEST EVER book which I have ever read and makes you get emotional by the story."
5.0 , 28 April 2015,"Really impressed with this novel. Wish i could change the ending and aarti would have gone back to Gopal."
5.0 , 31 May 2014,"best book by chetan bhaga and thans amazon for providing me this book at cheap rate and also in ue time."
4.0 , 7 March 2014,"Exceptionally beautiful book. It is a must read. I hope this one also gets made into a wonderful film ."
5.0 , 16 April 2016,"Its an awesome book..  really love chetan Bhagat's thought..  And his imagination power..  Great job.."
5.0 , 13 November 2013,"it is a good book compared to some other books of chetan bhagat. it is love story of two close friends"
5.0 , 14 March 2015,"Best of Chetan Bhagat.... Liked it completely.... IF u dont like plz  dont give nonsense comments...."
5.0 , 13 September 2014,"really amazing story, specially climax.It wont allow you to leave without completly reading it."
5.0 , 8 March 2016,"Loved the story very much... The best price ever anyone can get anywhere? challenging... Unbeatable."
5.0 , 9 November 2014,"its too good !!! One of my fav. And the work of amzon so good i got the novel in very good conditon"
5.0 , 14 February 2015,"Best novel of CHETAN BHAGAT.its very nice story.All in one love,life and student life."
5.0 , 22 November 2014,"Good book and inspirational. The character of Gopal and Aarthi is well described by Chetan Bhagat."
4.0 , 2 December 2015,"It is something different, who ever wants to read a different novel, I suggest go for this one!!!"
5.0 , 6 November 2015,"This was the first book I have completed with in a week. OMG. Such an amazing book....  No words."
5.0 , 22 October 2015,"Best book I hv ever read.Best of chetan bhagat..Awesome love story.. Very relatable.."
4.0 , 13 October 2015,"Its a nice one sided lovestory . It also tells us about the mistakes one should not do in love !!"
4.0 , 13 March 2014,"Chetan Bhagat is one of the finest writer of India and it is one of the best book written by him."
5.0 , 19 September 2013,"wds sdfsa fsd sfsrgr ergegedvfx  dfg s fss wrfsf  rwf wfsa ad  dfdfsafs fsf5y  e t e  t e  et  wr"
5.0 , 28 July 2013,"Cb knows the pulse of indians and writes for them . Could relate to a lot of scenes in the book ."
5.0 , 10 January 2015,"Revolution 2020 is my 1st novel book..that i read..&amp; this book is awesome...one of my fav book.."
